Date,Open,High,Low,Close,Adj Close,Volume
2017-09-14,10.8,11.4,10.2,11.4,11.271186,831241200
2017-09-15,11.5,11.7,10.8,10.9,10.776835,332171000
2017-09-18,11.0,11.3,10.3,10.3,10.183616,176244300
2017-09-19,10.4,11.0,10.3,10.6,10.480227000000001,139492600
2017-09-20,10.6,10.8,10.4,10.6,10.480227000000001,66340000
2017-09-21,10.7,10.9,10.6,10.6,10.480227000000001,61308200
2017-09-22,10.6,11.2,10.5,11.2,11.073446,134735800
2017-09-25,11.3,11.7,11.2,11.3,11.172317,187546100
2017-09-26,11.3,11.3,10.9,11.0,10.875707,98134200
2017-09-27,11.1,11.2,10.9,11.0,10.875707,55785800
2017-09-28,11.0,11.2,10.7,10.8,10.677966,49896300
2017-09-29,10.8,11.0,10.7,10.8,10.677966,31005000
2017-10-02,10.9,11.1,10.8,10.9,10.776835,23879100
2017-10-03,10.9,11.1,10.8,10.9,10.776835,37603400
2017-10-04,11.0,11.0,10.7,10.7,10.579096,28523900
2017-10-05,10.8,11.5,10.8,11.3,11.172317,150815600
2017-10-06,11.5,11.8,11.3,11.3,11.172317,200664300
2017-10-09,11.4,11.5,11.1,11.2,11.073446,38262700
2017-10-10,11.2,12.0,11.2,12.0,11.864407,162842100
2017-10-11,12.2,12.2,11.8,12.0,11.864407,94785400
2017-10-12,12.1,12.9,12.1,12.6,12.457627,132810900
2017-10-16,13.2,13.2,13.2,13.2,13.050847000000001,6829900
2017-10-17,13.3,13.5,12.9,13.1,12.951978,113494100
2017-10-18,13.2,13.5,13.0,13.2,13.050847000000001,64996900
2017-10-19,13.1,13.3,12.7,12.7,12.556497,89887900
2017-10-20,12.7,13.3,12.7,13.3,13.149717,62894900
2017-10-24,13.5,13.7,13.3,13.7,13.545197,76747700
2017-10-25,13.9,13.9,13.6,13.8,13.644067999999999,60596700
2017-10-27,13.9,14.1,13.7,13.7,13.545197,65316700
2017-10-30,13.8,13.8,13.3,13.5,13.347458,66072100
2017-10-31,13.4,13.8,13.4,13.4,13.248588,45446100
2017-11-01,13.4,13.8,13.4,13.5,13.347458,52777900
2017-11-02,13.6,13.8,13.3,13.3,13.149717,40457000
2017-11-03,13.4,13.4,12.6,12.6,12.457627,96154100
2017-11-06,12.6,13.0,12.4,12.9,12.754237,47453100
2017-11-07,13.0,13.1,12.4,12.5,12.358757,54538700
2017-11-08,12.6,13.0,12.5,12.8,12.655368,36771500
2017-11-09,12.9,13.1,12.7,13.0,12.853107000000001,36783400
2017-11-10,13.0,13.0,12.5,12.5,12.358757,31994500
2017-11-13,12.3,12.5,12.0,12.0,11.864407,36575000
2017-11-14,11.7,12.2,11.6,12.1,11.963277,47069000
2017-11-15,12.0,12.6,11.9,12.4,12.259886999999999,63792800
2017-11-16,12.5,12.7,12.3,12.3,12.161017,30208100
2017-11-17,12.4,12.6,12.4,12.5,12.358757,20804800
2017-11-20,12.6,12.6,12.3,12.4,12.259886999999999,11089300
2017-11-21,12.2,12.2,12.2,12.2,12.062147,27585600
2017-11-22,12.2,12.6,12.1,12.3,12.161017,35236100
2017-11-23,12.3,12.3,11.6,11.6,11.468927,47420200
2017-11-24,11.7,11.9,11.5,11.5,11.370056,25743400
2017-11-27,11.6,11.6,10.9,11.0,10.875707,30355200
2017-11-28,11.1,11.3,11.0,11.1,10.974577,28310300
2017-11-29,11.2,11.7,11.1,11.5,11.370056,43994500
2017-11-30,11.4,11.5,11.1,11.2,11.073446,21019800
2017-12-01,11.2,11.4,11.2,11.2,11.073446,14076600
2017-12-04,11.3,11.3,9.8,9.95,9.83757,90511000
2017-12-06,9.95,10.2,9.85,10.1,9.985876,46330600
2017-12-07,10.1,10.2,10.0,10.0,9.887006,10648900
2017-12-08,10.1,10.6,10.0,10.2,10.084745,46169100
2017-12-12,10.2,10.3,9.6,9.6,9.491526,43986800
2017-12-13,9.7,10.2,9.65,10.1,9.985876,29148300
2017-12-14,10.1,10.2,10.0,10.0,9.887006,4537900
2017-12-15,9.95,10.2,9.95,10.0,9.887006,6423100
2017-12-18,10.1,10.4,10.0,10.3,10.183616,9259800
2017-12-19,10.3,10.4,10.0,10.1,9.985876,9457900
2017-12-20,10.1,10.4,9.9,9.95,9.83757,20958300
2017-12-21,10.0,10.1,10.0,10.0,9.887006,4535700
2017-12-22,10.0,10.0,9.9,9.95,9.83757,3582700
2017-12-25,10.1,10.1,9.95,10.0,9.887006,6319600
2017-12-26,10.1,10.3,10.0,10.1,9.985876,13287000
